CategoryID,Category Path
66840,"Antiques > Antique Clocks > Bracket Clocks > Pre-1900"
96762,"Antiques > Antique Clocks > Bracket Clocks > Post-1900"
13850,"Antiques > Antique Clocks > Cuckoo Clocks"
60249,"Antiques > Antique Clocks > Longcase/Grandfather Clocks > Pre-1900"
96763,"Antiques > Antique Clocks > Longcase/Grandfather Clocks > Post-1900"
60248,"Antiques > Antique Clocks > Mantel/Carriage Clocks > Pre-1900"
96764,"Antiques > Antique Clocks > Mantel/Carriage Clocks > Post-1900"
60250,"Antiques > Antique Clocks > Wall Clocks > Pre-1900"
96765,"Antiques > Antique Clocks > Wall Clocks > Post-1900"
112089,"Antiques > Antique Clocks > Clock Parts"
3929,"Antiques > Antique Clocks > Other Antique Clocks > Pre-1900"
96766,"Antiques > Antique Clocks > Other Antique Clocks > Post-1900"
98437,"Antiques > Antique Furniture > Armoires/Wardrobes > Pre-Victorian (Pre-1837)"
60275,"Antiques > Antique Furniture > Armoires/Wardrobes > Victorian (1837-1901)"
121481,"Antiques > Antique Furniture > Armoires/Wardrobes > Edwardian (1901-1910)"
66858,"Antiques > Antique Furniture > Armoires/Wardrobes > 20th Century"
130929,"Antiques > Antique Furniture > Armoires/Wardrobes > Reproduction Arms./Wardrobes"
63552,"Antiques > Antique Furniture > Beds > Pre-Victorian (Pre-1837)"
63550,"Antiques > Antique Furniture > Beds > Victorian (1837-1901)"
121473,"Antiques > Antique Furniture > Beds > Edwardian (1901-1910)"
63551,"Antiques > Antique Furniture > Beds > 20th Century"
130921,"Antiques > Antique Furniture > Beds > Reproduction Beds"
63554,"Antiques > Antique Furniture > Benches/Stools > Pre-Victorian (Pre-1837)"
63555,"Antiques > Antique Furniture > Benches/Stools > Victorian (1837-1901)"
121474,"Antiques > Antique Furniture > Benches/Stools > Edwardian (1901-1910)"
63556,"Antiques > Antique Furniture > Benches/Stools > 20th Century"
130922,"Antiques > Antique Furniture > Benches/Stools > Reproduction Benches/Stools"
63558,"Antiques > Antique Furniture > Bookcases > Pre-Victorian (Pre-1837)"
63559,"Antiques > Antique Furniture > Bookcases > Victorian (1837-1901)"
121475,"Antiques > Antique Furniture > Bookcases > Edwardian (1901-1910)"
63560,"Antiques > Antique Furniture > Bookcases > 20th Century"
130923,"Antiques > Antique Furniture > Bookcases > Reproduction Bookcases"
98431,"Antiques > Antique Furniture > Boxes/Chests > Pre-Victorian (Pre-1837)"
66842,"Antiques > Antique Furniture > Boxes/Chests > Victorian (1837-1901)"
121476,"Antiques > Antique Furniture > Boxes/Chests > Edwardian (1901-1910)"
66854,"Antiques > Antique Furniture > Boxes/Chests > 20th Century"
130924,"Antiques > Antique Furniture > Boxes/Chests > Reproduction Boxes/Chests"
98433,"Antiques > Antique Furniture > Bureaux > Pre-Victorian (Pre-1837)"
96755,"Antiques > Antique Furniture > Bureaux > Victorian (1837-1901)"
121477,"Antiques > Antique Furniture > Bureaux > Edwardian (1901-1910)"
96758,"Antiques > Antique Furniture > Bureaux > 20th Century"
130925,"Antiques > Antique Furniture > Bureaux > Reproduction Bureaux"
63562,"Antiques > Antique Furniture > Cabinets > Pre-Victorian (Pre-1837)"
63563,"Antiques > Antique Furniture > Cabinets > Victorian (1837-1901)"
121478,"Antiques > Antique Furniture > Cabinets > Edwardian (1901-1910)"
63564,"Antiques > Antique Furniture > Cabinets > 20th Century"
130926,"Antiques > Antique Furniture > Cabinets > Reproduction Cabinets"
63566,"Antiques > Antique Furniture > Chairs > Pre-Victorian (Pre-1837)"
63567,"Antiques > Antique Furniture > Chairs > Victorian (1837-1901)"
121479,"Antiques > Antique Furniture > Chairs > Edwardian (1901-1910)"
63568,"Antiques > Antique Furniture > Chairs > 20th Century"
130927,"Antiques > Antique Furniture > Chairs > Reproduction Chairs"
98435,"Antiques > Antique Furniture > Chests of Drawers > Pre-Victorian (Pre-1837)"
66844,"Antiques > Antique Furniture > Chests of Drawers > Victorian (1837-1901)"
121480,"Antiques > Antique Furniture > Chests of Drawers > Edwardian (1901-1910)"
66857,"Antiques > Antique Furniture > Chests of Drawers > 20th Century"
130928,"Antiques > Antique Furniture > Chests of Drawers > Reproduction Chests of Drawers"
100925,"Antiques > Antique Furniture > Coffers"
63570,"Antiques > Antique Furniture > Desks > Pre-Victorian (Pre-1837)"
63571,"Antiques > Antique Furniture > Desks > Victorian (1837-1901)"
121482,"Antiques > Antique Furniture > Desks > Edwardian (1901-1910)"
63572,"Antiques > Antique Furniture > Desks > 20th Century"
130930,"Antiques > Antique Furniture > Desks > Reproduction Desks"
63578,"Antiques > Antique Furniture > Dressers > Pre-Victorian (Pre-1837)"
63579,"Antiques > Antique Furniture > Dressers > Victorian (1837-1901)"
121483,"Antiques > Antique Furniture > Dressers > Edwardian (1901-1910)"
63580,"Antiques > Antique Furniture > Dressers > 20th Century"
130931,"Antiques > Antique Furniture > Dressers > Reproduction Dressers"
98439,"Antiques > Antique Furniture > Dressing Tables > Pre-Victorian (Pre-1837)"
96756,"Antiques > Antique Furniture > Dressing Tables > Victorian (1837-1901)"
121484,"Antiques > Antique Furniture > Dressing Tables > Edwardian (1901-1910)"
96759,"Antiques > Antique Furniture > Dressing Tables > 20th Century"
130932,"Antiques > Antique Furniture > Dressing Tables > Reproduction Dressing Tables"
98441,"Antiques > Antique Furniture > Lamps > Pre-Victorian (Pre-1837)"
63547,"Antiques > Antique Furniture > Lamps > Victorian (1837-1901)"
121488,"Antiques > Antique Furniture > Lamps > Edwardian (1901-1910)"
66861,"Antiques > Antique Furniture > Lamps > 20th Century"
130933,"Antiques > Antique Furniture > Lamps > Reproduction Lamps"
98443,"Antiques > Antique Furniture > Mirrors > Pre-Victorian (Pre-1837)"
20089,"Antiques > Antique Furniture > Mirrors > Victorian (1837-1901)"
121489,"Antiques > Antique Furniture > Mirrors > Edwardian (1901-1910)"
79951,"Antiques > Antique Furniture > Mirrors > 20th Century"
130934,"Antiques > Antique Furniture > Mirrors > Reproduction Mirrors"
98445,"Antiques > Antique Furniture > Sideboards > Pre-Victorian (Pre-1837)"
66848,"Antiques > Antique Furniture > Sideboards > Victorian (1837-1901)"
121490,"Antiques > Antique Furniture > Sideboards > Edwardian (1901-1910)"
66862,"Antiques > Antique Furniture > Sideboards > 20th Century"
130935,"Antiques > Antique Furniture > Sideboards > Reproduction Sideboards"
63582,"Antiques > Antique Furniture > Sofas/Chaises > Pre-Victorian (Pre-1837)"
63583,"Antiques > Antique Furniture > Sofas/Chaises > Victorian (1837-1901)"
121485,"Antiques > Antique Furniture > Sofas/Chaises > Edwardian (1901-1910)"
63584,"Antiques > Antique Furniture > Sofas/Chaises > 20th Century"
130948,"Antiques > Antique Furniture > Sofas/Chaises > Reproduction Sofas/Chaises"
96757,"Antiques > Antique Furniture > Stands"
63586,"Antiques > Antique Furniture > Tables > Pre-Victorian (Pre-1837)"
63587,"Antiques > Antique Furniture > Tables > Victorian (1837-1901)"
121486,"Antiques > Antique Furniture > Tables > Edwardian (1901-1910)"
63588,"Antiques > Antique Furniture > Tables > 20th Century"
130949,"Antiques > Antique Furniture > Tables > Reproduction Tables"
63590,"Antiques > Antique Furniture > Other Antique Furniture > Pre-Victorian (Pre-1837)"
63591,"Antiques > Antique Furniture > Other Antique Furniture > Victorian (1837-1901)"
121487,"Antiques > Antique Furniture > Other Antique Furniture > Edwardian (1901-1910)"
63592,"Antiques > Antique Furniture > Other Antique Furniture > 20th Century"
130950,"Antiques > Antique Furniture > Other Antique Furniture > Other Reproduction Furniture"
37908,"Antiques > Antiquities > Americas"
60201,"Antiques > Antiquities > British"
66833,"Antiques > Antiquities > Chinese"
37905,"Antiques > Antiquities > Egyptian"
91100,"Antiques > Antiquities > European"
37906,"Antiques > Antiquities > Greek"
105882,"Antiques > Antiquities > Irish"
91101,"Antiques > Antiquities > Near Eastern"
66834,"Antiques > Antiquities > Prehistoric"
37907,"Antiques > Antiquities > Roman"
91102,"Antiques > Antiquities > Russian"
91103,"Antiques > Antiquities > Scandinavian"
73464,"Antiques > Antiquities > Other Antiquities"
63516,"Antiques > Architectural Antiques > Chandeliers, Sconces & Lighting Fixtures"
37910,"Antiques > Architectural Antiques > Doors"
37912,"Antiques > Architectural Antiques > Door Bells & Knockers"
37914,"Antiques > Architectural Antiques > Door Knobs & Handles"
63518,"Antiques > Architectural Antiques > Fireplaces, Mantels & Fireplace Accessories"
4708,"Antiques > Architectural Antiques > Garden"
66637,"Antiques > Architectural Antiques > Hardware"
37913,"Antiques > Architectural Antiques > Hooks, Brackets & Curtain Rods"
121472,"Antiques > Architectural Antiques > Light Switches"
37915,"Antiques > Architectural Antiques > Locks, Latches & Keys"
100901,"Antiques > Architectural Antiques > Plaques"
167948,"Antiques > Architectural Antiques > Plumbing & Fixtures"
63519,"Antiques > Architectural Antiques > Signs"
4771,"Antiques > Architectural Antiques > Stained Glass Windows"
112084,"Antiques > Architectural Antiques > Stair & Carpet Rods"
37917,"Antiques > Architectural Antiques > Tiles"
37918,"Antiques > Architectural Antiques > Weathervanes & Lightning Rods"
63520,"Antiques > Architectural Antiques > Windows, Shutters & Sash Locks"
1207,"Antiques > Architectural Antiques > Other Architectural Antiques"
37920,"Antiques > Asian/Oriental Antiques > Chinese > Baskets"
37921,"Antiques > Asian/Oriental Antiques > Chinese > Bowls"
37922,"Antiques > Asian/Oriental Antiques > Chinese > Boxes"
37923,"Antiques > Asian/Oriental Antiques > Chinese > Cabinets"
37924,"Antiques > Asian/Oriental Antiques > Chinese > Chairs"
37925,"Antiques > Asian/Oriental Antiques > Chinese > Chests"
184440,"Antiques > Asian/Oriental Antiques > Chinese > Figurines & Statues"
37926,"Antiques > Asian/Oriental Antiques > Chinese > Glasses/Cups"
37927,"Antiques > Asian/Oriental Antiques > Chinese > Necklaces/Pendants"
96754,"Antiques > Asian/Oriental Antiques > Chinese > Ornaments"
38124,"Antiques > Asian/Oriental Antiques > Chinese > Paintings/Scrolls"
37928,"Antiques > Asian/Oriental Antiques > Chinese > Plates"
